"soort","aanwezigheid","lengtegraad","breedtegraad","provincie"
"Ichthyosaura alpestris",1,6.5,52.7,"Drenthe"
"Ichthyosaura alpestris",1,5.8,51.45,"Noord-Brabant"
"Ichthyosaura alpestris",1,6.5,52.7,"Drenthe"
"Ichthyosaura alpestris",1,5.8,52.15,"Gelderland"
"Ichthyosaura alpestris",1,5.4,51.45,"Noord-Brabant"
"Ichthyosaura alpestris",1,5.25,52.15,"Utrecht"
"Ichthyosaura alpestris",1,5.1,51.3,"Noord-Brabant"
"Ichthyosaura alpestris",1,6.05,51.25,"Limburg"
"Ichthyosaura alpestris",1,5.9,51.8,"Gelderland"
"Ichthyosaura alpestris",1,5.9,51.8,"Gelderland"
"Ichthyosaura alpestris",1,5.7,50.85,"Limburg"
"Ichthyosaura alpestris",1,5.8,51.95,"Gelderland"
"Ichthyosaura alpestris",1,5.25,52.05,"Utrecht"
"Ichthyosaura alpestris",1,5.75,52.25,"Gelderland"
"Ichthyosaura alpestris",1,5.9,50.85,"Limburg"
"Ichthyosaura alpestris",1,5.9,50.85,"Limburg"
"Ichthyosaura alpestris",1,5.45,51.4,"Noord-Brabant"
"Ichthyosaura alpestris",1,5,51.45,"Noord-Brabant"
"Ichthyosaura alpestris",1,6.05,51.3,"Limburg"
"Ichthyosaura alpestris",1,5.8,52.3,"Gelderland"
"Ichthyosaura alpestris",1,5.8,52.3,"Gelderland"
"Ichthyosaura alpestris",1,5.7,52.5,"Flevoland"
"Ichthyosaura alpestris",1,5.7,52.5,"Flevoland"
"Ichthyosaura alpestris",1,4.8,51.5,"Noord-Brabant"
"Ichthyosaura alpestris",1,5.8,51.95,"Gelderland"
"Ichthyosaura alpestris",1,5.9,51.8,"Gelderland"
"Ichthyosaura alpestris",1,5.8,52.3,"Gelderland"
"Ichthyosaura alpestris",1,5.8,52.3,"Gelderland"
"Ichthyosaura alpestris",1,5.8,52.3,"Gelderland"
"Ichthyosaura alpestris",1,5.8,52.3,"Gelderland"
"Ichthyosaura alpestris",1,5.8,52.3,"Gelderland"
"Ichthyosaura alpestris",1,5.8,52.3,"Gelderland"
"Ichthyosaura alpestris",1,5.8,52.3,"Gelderland"
"Ichthyosaura alpestris",1,5.7,52.5,"Flevoland"
"Ichthyosaura alpestris",1,6,51.15,"Limburg"
"Ichthyosaura alpestris",1,5.8,52.3,"Gelderland"
"Ichthyosaura alpestris",1,5.8,52.3,"Gelderland"
"Ichthyosaura alpestris",1,6,51.15,"Limburg"
"Ichthyosaura alpestris",1,6,51.15,"Limburg"
"Ichthyosaura alpestris",1,5.9,51.8,"Gelderland"
"Ichthyosaura alpestris",1,6.15,51.4,"Limburg"
"Ichthyosaura alpestris",1,5,51.45,"Noord-Brabant"
"Ichthyosaura alpestris",1,6.15,52.85,"Friesland"
"Ichthyosaura alpestris",1,6.15,52.85,"Friesland"
"Ichthyosaura alpestris",1,6,51.55,"Noord-Brabant"
"Ichthyosaura alpestris",1,6,51.55,"Noord-Brabant"
"Ichthyosaura alpestris",1,5.85,50.85,"Limburg"
"Ichthyosaura alpestris",1,5.85,52,"Gelderland"
"Ichthyosaura alpestris",1,6.55,52.95,"Drenthe"
"Ichthyosaura alpestris",1,5.95,51.1,"Limburg"
"Ichthyosaura alpestris",1,5.4,51.4,"Noord-Brabant"
"Ichthyosaura alpestris",1,5.75,51.95,"Gelderland"
"Ichthyosaura alpestris",1,5.75,51.95,"Gelderland"
"Ichthyosaura alpestris",1,5.85,50.75,"Limburg"
"Ichthyosaura alpestris",1,5.85,50.75,"Limburg"
"Ichthyosaura alpestris",1,5.75,51.45,"Noord-Brabant"
"Ichthyosaura alpestris",1,5.45,51.4,"Noord-Brabant"
"Ichthyosaura alpestris",1,5.45,51.4,"Noord-Brabant"
"Ichthyosaura alpestris",1,5.5,51.35,"Noord-Brabant"
"Ichthyosaura alpestris",1,5.45,51.4,"Noord-Brabant"
"Ichthyosaura alpestris",1,5.15,51.6,"Noord-Brabant"
"Ichthyosaura alpestris",1,5.85,51.8,"Gelderland"
"Ichthyosaura alpestris",1,4.85,51.4,"Noord-Brabant"
"Ichthyosaura alpestris",1,4.85,51.4,"Noord-Brabant"
"Ichthyosaura alpestris",1,4.85,51.4,"Noord-Brabant"
"Ichthyosaura alpestris",1,4.85,51.4,"Noord-Brabant"
"Ichthyosaura alpestris",1,4.85,51.4,"Noord-Brabant"
"Ichthyosaura alpestris",1,4.85,51.4,"Noord-Brabant"
"Ichthyosaura alpestris",1,4.85,51.4,"Noord-Brabant"
"Ichthyosaura alpestris",1,4.85,51.4,"Noord-Brabant"
"Ichthyosaura alpestris",1,4.85,51.4,"Noord-Brabant"
"Ichthyosaura alpestris",1,4.85,51.4,"Noord-Brabant"
"Ichthyosaura alpestris",1,5.85,51.2,"Limburg"
"Ichthyosaura alpestris",1,4.85,51.4,"Noord-Brabant"
"Ichthyosaura alpestris",1,4.85,51.4,"Noord-Brabant"
"Ichthyosaura alpestris",1,4.85,51.4,"Noord-Brabant"
"Ichthyosaura alpestris",1,4.85,51.4,"Noord-Brabant"
"Ichthyosaura alpestris",1,4.85,51.4,"Noord-Brabant"
"Ichthyosaura alpestris",1,4.85,51.4,"Noord-Brabant"
"Ichthyosaura alpestris",1,4.85,51.4,"Noord-Brabant"
"Ichthyosaura alpestris",1,4.85,51.4,"Noord-Brabant"
"Ichthyosaura alpestris",1,5.7,50.8,"Limburg"
"Ichthyosaura alpestris",1,5.7,52.25,"Gelderland"
"Ichthyosaura alpestris",1,6.55,53,"Drenthe"
"Ichthyosaura alpestris",1,5.4,51.45,"Noord-Brabant"
"Ichthyosaura alpestris",1,5.4,51.45,"Noord-Brabant"
"Ichthyosaura alpestris",1,5.4,51.4,"Noord-Brabant"
"Ichthyosaura alpestris",1,5.4,51.4,"Noord-Brabant"
"Ichthyosaura alpestris",1,5.4,51.4,"Noord-Brabant"
"Ichthyosaura alpestris",1,5.4,51.4,"Noord-Brabant"
"Ichthyosaura alpestris",1,5.7,52.25,"Gelderland"
"Ichthyosaura alpestris",1,6.15,52.85,"Drenthe"
"Ichthyosaura alpestris",1,6.65,52.45,"Overijssel"
"Ichthyosaura alpestris",1,4.35,51.95,"Zuid-Holland"
"Ichthyosaura alpestris",1,5.2,52.1,"Utrecht"
"Ichthyosaura alpestris",1,4.65,51.4,"Noord-Brabant"
"Ichthyosaura alpestris",1,5.9,51.7,"Limburg"
"Ichthyosaura alpestris",1,5.2,52.15,"Utrecht"
"Ichthyosaura alpestris",1,5.2,52.15,"Utrecht"
"Ichthyosaura alpestris",1,4.85,51.5,"Noord-Brabant"
"Ichthyosaura alpestris",1,5.75,51.75,"Gelderland"
"Ichthyosaura alpestris",1,5.95,50.8,"Limburg"
"Ichthyosaura alpestris",1,5.95,51.55,"Noord-Brabant"
"Ichthyosaura alpestris",1,5.95,51.55,"Noord-Brabant"
"Ichthyosaura alpestris",1,5.8,51.75,"Gelderland"
"Ichthyosaura alpestris",1,5.8,51.75,"Gelderland"
"Ichthyosaura alpestris",1,5.5,51.75,"Noord-Brabant"
"Ichthyosaura alpestris",1,5,51.45,"Noord-Brabant"
"Ichthyosaura alpestris",1,5.9,50.75,"Limburg"
"Ichthyosaura alpestris",1,6.5,52.7,"Drenthe"
"Ichthyosaura alpestris",1,5.6,51.65,"Noord-Brabant"
"Ichthyosaura alpestris",1,5.75,50.8,"Limburg"
"Ichthyosaura alpestris",1,5.7,51.95,"Gelderland"
"Ichthyosaura alpestris",1,4.2,52,"Zuid-Holland"
"Ichthyosaura alpestris",1,5.75,52.15,"Gelderland"
"Ichthyosaura alpestris",1,5.85,51.8,"Gelderland"
"Ichthyosaura alpestris",1,5.85,51.8,"Gelderland"
"Ichthyosaura alpestris",1,6,51.05,"Limburg"
"Ichthyosaura alpestris",1,6,51.05,"Limburg"
"Ichthyosaura alpestris",1,6,51.05,"Limburg"
"Ichthyosaura alpestris",1,5.95,51.05,"Limburg"
